"","NGenes","Direction","PValue","FDR"
"GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",64,"Down",3.60276765645042e-08,0.000220388313373379
"GO_FICOLIN_1_RICH_GRANULE",120,"Down",4.35851504743161e-08,0.000220388313373379
"GO_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME",85,"Down",8.99650946279595e-08,0.000303272333990852
"GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",311,"Down",2.06228586669989e-07,0.000521397424248401
"GO_REGULATION_OF_MRNA_PROCESSING",122,"Down",4.28409305722603e-07,0.000866500661754536
"GO_RNA_SPLICING",391,"Down",9.07675115002564e-07,0.00132798544171455
"GO_SPLICEOSOMAL_COMPLEX",179,"Down",9.19202817363974e-07,0.00132798544171455
"GO_REGULATION_OF_MRNA_METABOLIC_PROCESS",281,"Down",1.70418937562404e-06,0.00215430839446075
"GO_MRNA_PROCESSING",451,"Down",3.39385558908279e-06,0.00353539893119465
"GO_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX",14,"Down",3.83121369199697e-06,0.00353539893119465
"GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME",20,"Down",4.18042573988588e-06,0.00353539893119465
"GO_EUKARYOTIC_48S_PREINITIATION_COMPLEX",13,"Down",4.19507437697378e-06,0.00353539893119465
"GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX",14,"Down",5.71408946988275e-06,0.00439243199842374
"GO_TRANSLATION_PREINITIATION_COMPLEX",16,"Down",6.45009583390677e-06,0.00439243199842374
"GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS",52,"Down",6.51502817921053e-06,0.00439243199842374
"GO_REGULATION_OF_RNA_SPLICING",116,"Down",9.43682905916488e-06,0.00563082802532942
"GO_RIBONUCLEOPROTEIN_COMPLEX",630,"Down",9.84344172886554e-06,0.00563082802532942
"GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION",28,"Down",1.0022239143274e-05,0.00563082802532942
"GO_NEGATIVE_REGULATION_OF_MRNA_PROCESSING",29,"Down",1.23428587106828e-05,0.00647614484753244
"GO_TRANSLATIONAL_INITIATION",179,"Down",1.28075642193858e-05,0.00647614484753244
"GO_RIBOSOME",212,"Down",1.44575577821691e-05,0.00696234675481314
"GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT",59,"Up",1.70727362221194e-05,0.00784802642792244
"GO_PROTEASOME_ACCESSORY_COMPLEX",24,"Down",2.18885293188557e-05,0.00914410354939293
"GO_TRANSLATION_INITIATION_FACTOR_ACTIVITY",46,"Down",2.23226643213218e-05,0.00914410354939293
"GO_MRNA_METABOLIC_PROCESS",753,"Down",2.26048243582343e-05,0.00914410354939293
"GO_CILIARY_PLASM",62,"Up",2.58042555637898e-05,0.0100368629429464
"GO_INTRACILIARY_TRANSPORT_PARTICLE",26,"Up",2.85486552843038e-05,0.0103323501585816
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I",72,"Down",2.86073177534149e-05,0.0103323501585816
"GO_MITOCHONDRIAL_PROTEIN_COMPLEX",243,"Down",3.24293929884045e-05,0.0108786159505593
"GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING",75,"Down",3.29201264894862e-05,0.0108786159505593
"GO_CILIUM",362,"Up",3.3346889594318e-05,0.0108786159505593
"GO_REGULATION_OF_PROTON_TRANSPORT",17,"Down",3.83994943401322e-05,0.0121354401956799
"GO_MHC_CLASS_II_PROTEIN_COMPLEX",14,"Down",4.14306849065995e-05,0.0126966217109225
"GO_RIBOSOMAL_SUBUNIT",176,"Down",5.41663381852615e-05,0.0161112993549279
"GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",149,"Down",5.62575199656979e-05,0.0162552085546601
"GO_NEGATIVE_REGULATION_OF_RNA_SPLICING",25,"Down",6.41767820411467e-05,0.0175766348142306
"GO_CATALYTIC_STEP_2_SPLICEOSOME",85,"Down",6.43068810567125e-05,0.0175766348142306
"GO_GLYCOPROTEIN_COMPLEX",12,"Up",6.91826967733463e-05,0.0184117003281277
"GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",123,"Down",7.7055262728442e-05,0.0198661063859988
"GO_REGULATION_OF_CELLULAR_AMINE_METABOLIC_PROCESS",63,"Down",8.20097124042161e-05,0.0198661063859988
"GO_U2_TYPE_SPLICEOSOMAL_COMPLEX",89,"Down",8.2308852821083e-05,0.0198661063859988
"GO_OXIDATIVE_PHOSPHORYLATION",130,"Down",8.25053365185356e-05,0.0198661063859988
"GO_INTRACILIARY_RETROGRADE_TRANSPORT",10,"Up",8.75057705493583e-05,0.0205801362224572
"GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY",499,"Down",9.87708389422975e-05,0.0227010738466655
"GO_SPERM_PRINCIPAL_PIECE",14,"Up",0.000101013381103525,0.0227010738466655
"GO_INNATE_IMMUNE_RESPONSE_ACTIVATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY",95,"Down",0.000106913200274152,0.0233014744491057
"GO_SODIUM_CHANNEL_COMPLEX",7,"Up",0.000108293216563628,0.0233014744491057
"GO_GRANULOCYTE_DIFFERENTIATION",26,"Down",0.00011229404147573,0.0236589508634179
"GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_HYPOXIA",69,"Down",0.00012561735859328,0.0259258846419152
"GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY_MINUS_END_DIRECTED",12,"Up",0.000128836275348268,0.0260584250519406
"GO_PHOSPHATIDYLGLYCEROL_BINDING",8,"Down",0.000136669463438853,0.0271007506619043
"GO_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS",67,"Down",0.000148738178052382,0.0289267152816104
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION",198,"Down",0.000154773777309336,0.0295325888665908
