"","ENSEMBL","ENTREZID","SYMBOL","TXCHROM","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000157514","ENSG00000157514","1831","TSC22D3","chrX",0.798232243220079,8.85281117841839,12.3024639611836,1.36889457562222e-26,1.79421012026804e-22,49.6642223380568
"ENSG00000136603","ENSG00000136603","6498","SKIL","chr3",0.707396925942371,7.04132009095071,11.2489957095367,2.58314932350103e-23,1.6928669091564e-19,42.2986458158224
"ENSG00000206560","ENSG00000206560","23243","ANKRD28","chr3",0.737076555454725,6.61796088117173,11.0317907338083,1.20116352150226e-22,5.24788342544336e-19,40.791491437593
"ENSG00000188596","ENSG00000188596","144535","CFAP54",NA,1.33707820185202,2.49986775296947,10.8972899941186,3.09928038244319e-22,1.01555669931707e-18,39.4159135262726
"ENSG00000169902","ENSG00000169902","8460","TPST1","chr7",1.23490728386533,4.58239619056434,10.7923263457399,6.48018403092105e-22,1.69871544186564e-18,39.1259901916406
"ENSG00000227507","ENSG00000227507","4050","LTB","chr6",-0.609181888717794,7.03851024457247,-10.6503278969236,1.75216944986575e-21,3.82761416323173e-18,38.1575025464476
"ENSG00000164691","ENSG00000164691","117289","TAGAP","chr6",0.376804720612679,8.38319601184047,10.2588860570935,2.66491291550836e-20,4.98985908336687e-17,35.4831566215027
"ENSG00000110090","ENSG00000110090","1374","CPT1A","chr11",0.523018798263184,5.73264969278463,9.78062722215855,7.08676073023659e-19,1.16107716114014e-15,32.2652883931554
"ENSG00000118503","ENSG00000118503","7128","TNFAIP3","chr6",0.481860972332135,5.8884026206005,9.71242590645308,1.12640245018536e-18,1.64041743495328e-15,31.8104279708327
"ENSG00000160593","ENSG00000160593","120425","JAML","chr11",-0.485511943371293,10.2024194558986,-9.69653961332489,1.25457617997386e-18,1.64437299909174e-15,31.698128383136
"ENSG00000162191","ENSG00000162191","51035","UBXN1","chr11",-0.355307540773414,5.54660534535566,-9.67397075196602,1.46197615200686e-18,1.74201103857762e-15,31.55479759826
"ENSG00000149573","ENSG00000149573","10205","MPZL2","chr11",-0.685347465801775,3.56612369162768,-9.62678498628277,2.01220597620502e-18,2.19783197750993e-15,31.2437724131422
